"test" "R0" "eta" "p" "q" "alpha" "stiTotalNumCases" "stiTotNumSTIcases" "stiNoMoreEICs" "stiDayLastCase" "stiEpidemicPeakNew" "stiDayEpidemicPeakNew"
"101" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "130787" "157" "1378" "842" "848" "173"
"102" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "4" "0" "297" "10" "1" "1"
"103" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"104" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"105" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "3" "0" "74" "72" "1" "1"
"106" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "2" "1" "1" "1"
"107" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "65" "1" "1" "1"
"108" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "57395" "83" "1268" "902" "379" "194"
"109" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "16187" "16" "1045" "885" "110" "175"
"110" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "6" "1" "1" "1"
"111" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "13362" "21" "1240" "616" "93" "189"
"112" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "41589" "62" "1004" "745" "284" "173"
"113" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "3873" "4" "846" "469" "31" "190"
"114" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"115" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "21908" "28" "1027" "682" "150" "212"
"116" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "881" "1" "719" "551" "9" "168"
"117" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"118" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "4204" "7" "827" "479" "38" "191"
"119" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"120" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "2" "0" "105" "5" "1" "1"
"121" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "2" "0" "12" "11" "1" "1"
"122" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"123" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "32861" "50" "1070" "823" "221" "174"
"124" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "2662" "4" "832" "500" "25" "218"
"125" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "8" "0" "278" "101" "1" "1"
"126" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "5" "1" "1" "1"
"127" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "38398" "44" "1083" "820" "259" "195"
"128" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "3" "1" "1" "1"
"129" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "32407" "53" "1081" "599" "222" "176"
"130" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1896" "3" "779" "516" "22" "211"
"131" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "130" "0" "625" "243" "4" "80"
"132" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "2" "0" "31" "19" "1" "1"
"133" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"134" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "35255" "56" "997" "850" "233" "180"
"135" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "2" "1" "1" "1"
"136" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"137" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "18729" "26" "1049" "605" "129" "176"
"138" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "13662" "20" "948" "641" "109" "197"
"139" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "8192" "8" "948" "527" "62" "212"
"140" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "38125" "54" "1165" "751" "258" "175"
"141" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "11445" "12" "879" "554" "93" "182"
"142" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "22909" "28" "1000" "572" "149" "179"
"143" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "5218" "10" "820" "568" "47" "216"
"144" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "30685" "40" "1124" "643" "215" "193"
"145" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "15428" "16" "1020" "574" "110" "205"
"146" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "25506" "26" "1001" "554" "175" "198"
"147" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "12142" "18" "997" "535" "101" "191"
"148" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "397" "0" "527" "331" "6" "136"
"149" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"150" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "298" "1" "772" "378" "6" "237"
"151" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "3" "0" "150" "44" "1" "1"
"152" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "7972" "13" "1020" "497" "65" "190"
"153" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"154" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "11632" "10" "1029" "473" "87" "170"
"155" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "10264" "16" "924" "589" "78" "183"
"156" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"157" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "6" "0" "65" "38" "1" "1"
"158" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "39218" "56" "1037" "618" "261" "177"
"159" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"160" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "45" "1" "351" "250" "2" "139"
"161" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "3284" "4" "1140" "592" "34" "211"
"162" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"163" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "213" "1" "1" "1"
"164" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "618" "3" "815" "472" "6" "207"
"165" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "233" "1" "1" "1"
"166" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "6196" "6" "1050" "764" "51" "173"
"167" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "64266" "109" "1204" "910" "430" "197"
"168" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"169" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "5" "0" "33" "32" "1" "1"
"170" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "2" "1" "1" "1"
"171" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "667" "0" "799" "508" "8" "169"
"172" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "2190" "0" "887" "526" "22" "211"
"173" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "3" "0" "60" "59" "1" "1"
"174" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
"175" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "5845" "10" "729" "554" "50" "192"
"176" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "76" "1" "1" "1"
"177" "3 month conv period, eta = 0.0005" "2.133485" "5e-04" "0.346494" "0.271890410958904" "0.0114481969089868" "1" "0" "1" "1" "1" "1"
